REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,1999/09/01 00:30,7884.325,16.5,TRADE
NSW1,1999/09/01 01:00,7794.19,17.62,TRADE
NSW1,1999/09/01 01:30,7584.98833,24.38,TRADE
NSW1,1999/09/01 02:00,7134.435,16.01,TRADE
NSW1,1999/09/01 02:30,6733.23833,17.33,TRADE
NSW1,1999/09/01 03:00,6399.135,16.86,TRADE
NSW1,1999/09/01 03:30,6113.47,14.26,TRADE
NSW1,1999/09/01 04:00,5890.67667,11.28,TRADE
NSW1,1999/09/01 04:30,5778.84833,11.05,TRADE
NSW1,1999/09/01 05:00,5843.28833,10.94,TRADE
NSW1,1999/09/01 05:30,6089.71333,13.75,TRADE
NSW1,1999/09/01 06:00,6459.81,14.79,TRADE
NSW1,1999/09/01 06:30,7224.35,23.15,TRADE
NSW1,1999/09/01 07:00,7931.03833,23.94,TRADE
NSW1,1999/09/01 07:30,7947.85167,20.09,TRADE
NSW1,1999/09/01 08:00,8264.97833,20.61,TRADE
NSW1,1999/09/01 08:30,8316.13833,20.57,TRADE
NSW1,1999/09/01 09:00,8205.025,20.41,TRADE
NSW1,1999/09/01 09:30,8425.84333,20.54,TRADE
NSW1,1999/09/01 10:00,8505.795,20.59,TRADE
NSW1,1999/09/01 10:30,8433.26667,20.48,TRADE
NSW1,1999/09/01 11:00,8280.55,20.41,TRADE
NSW1,1999/09/01 11:30,8214.225,18.08,TRADE
NSW1,1999/09/01 12:00,8157.995,17.59,TRADE
NSW1,1999/09/01 12:30,8100.85833,17.53,TRADE
NSW1,1999/09/01 13:00,8033.566,17.31,TRADE
NSW1,1999/09/01 13:30,8037.62333,17.53,TRADE
NSW1,1999/09/01 14:00,8036.08333,18.59,TRADE
NSW1,1999/09/01 14:30,8054.035,19.21,TRADE
NSW1,1999/09/01 15:00,7975.05167,19.32,TRADE
NSW1,1999/09/01 15:30,7928.78333,18.29,TRADE
NSW1,1999/09/01 16:00,7927.795,18.22,TRADE
NSW1,1999/09/01 16:30,7939.27,18.17,TRADE
NSW1,1999/09/01 17:00,8032.47833,17.76,TRADE
NSW1,1999/09/01 17:30,8180.58333,18.62,TRADE
NSW1,1999/09/01 18:00,8638.455,19.45,TRADE
NSW1,1999/09/01 18:30,8857.14167,20.79,TRADE
NSW1,1999/09/01 19:00,8761.96,20.08,TRADE
NSW1,1999/09/01 19:30,8442.65333,17.09,TRADE
NSW1,1999/09/01 20:00,8283.71667,17.47,TRADE
NSW1,1999/09/01 20:30,8028.115,15.56,TRADE
NSW1,1999/09/01 21:00,7950.05833,17.46,TRADE
NSW1,1999/09/01 21:30,7726.28,17.89,TRADE
NSW1,1999/09/01 22:00,7535.25833,18.34,TRADE
NSW1,1999/09/01 22:30,7708.575,18.28,TRADE
NSW1,1999/09/01 23:00,7849.52833,17.63,TRADE
NSW1,1999/09/01 23:30,7919.75333,25.42,TRADE
NSW1,1999/09/02 00:00,7937.86167,21.56,TRADE
NSW1,1999/09/02 00:30,7834.46333,21.77,TRADE
NSW1,1999/09/02 01:00,7711.71333,20.51,TRADE
NSW1,1999/09/02 01:30,7518.6,26.21,TRADE
NSW1,1999/09/02 02:00,7141.11,18.64,TRADE
NSW1,1999/09/02 02:30,6756.96667,18.59,TRADE
NSW1,1999/09/02 03:00,6470.015,23.3,TRADE
NSW1,1999/09/02 03:30,6172.45333,25.64,TRADE
NSW1,1999/09/02 04:00,5928.765,16.86,TRADE
NSW1,1999/09/02 04:30,5885.28667,14.34,TRADE
NSW1,1999/09/02 05:00,5886.96,14.38,TRADE
NSW1,1999/09/02 05:30,6058.88,15.64,TRADE
NSW1,1999/09/02 06:00,6405.59167,18.9,TRADE
NSW1,1999/09/02 06:30,7178.005,30.66,TRADE
NSW1,1999/09/02 07:00,7814.28833,35.24,TRADE
NSW1,1999/09/02 07:30,7797.18667,20.63,TRADE
NSW1,1999/09/02 08:00,8136.63167,25.76,TRADE
NSW1,1999/09/02 08:30,8218.27667,26.03,TRADE
NSW1,1999/09/02 09:00,8166.18833,20.7,TRADE
NSW1,1999/09/02 09:30,8417.265,24.74,TRADE
NSW1,1999/09/02 10:00,8507.33,22.56,TRADE
NSW1,1999/09/02 10:30,8460.66667,20.85,TRADE
NSW1,1999/09/02 11:00,8352.46333,20.53,TRADE
NSW1,1999/09/02 11:30,8262.72167,20.51,TRADE
NSW1,1999/09/02 12:00,8238.77,20.57,TRADE
NSW1,1999/09/02 12:30,8141.58167,20.45,TRADE
NSW1,1999/09/02 13:00,8059.61167,17.37,TRADE
NSW1,1999/09/02 13:30,7999.05167,17.17,TRADE
NSW1,1999/09/02 14:00,8045.395,17.25,TRADE
NSW1,1999/09/02 14:30,8013.545,17.43,TRADE
NSW1,1999/09/02 15:00,7954.715,18.92,TRADE
NSW1,1999/09/02 15:30,7901.36833,17.3,TRADE
NSW1,1999/09/02 16:00,7945.70667,19.58,TRADE
NSW1,1999/09/02 16:30,7949.04833,18.47,TRADE
NSW1,1999/09/02 17:00,8024.27333,16.83,TRADE
NSW1,1999/09/02 17:30,8077.54167,15.04,TRADE
NSW1,1999/09/02 18:00,8515.36833,17.93,TRADE
NSW1,1999/09/02 18:30,8793.98167,20.58,TRADE
NSW1,1999/09/02 19:00,8743.7,20.03,TRADE
NSW1,1999/09/02 19:30,8544.465,17.76,TRADE
NSW1,1999/09/02 20:00,8351.585,17.0,TRADE
NSW1,1999/09/02 20:30,8210.18167,15.74,TRADE
NSW1,1999/09/02 21:00,8061.98167,15.09,TRADE
NSW1,1999/09/02 21:30,7808.895,18.31,TRADE
NSW1,1999/09/02 22:00,7611.72167,16.71,TRADE
NSW1,1999/09/02 22:30,7848.70833,17.89,TRADE
NSW1,1999/09/02 23:00,7938.79,17.76,TRADE
NSW1,1999/09/02 23:30,7979.53667,28.49,TRADE
NSW1,1999/09/03 00:00,7986.515,29.82,TRADE
NSW1,1999/09/03 00:30,7805.535,22.72,TRADE
NSW1,1999/09/03 01:00,7692.59833,18.32,TRADE
NSW1,1999/09/03 01:30,7468.60833,24.8,TRADE
NSW1,1999/09/03 02:00,7113.715,20.08,TRADE
NSW1,1999/09/03 02:30,6721.28667,19.17,TRADE
NSW1,1999/09/03 03:00,6391.28333,16.25,TRADE
NSW1,1999/09/03 03:30,6089.735,14.94,TRADE
NSW1,1999/09/03 04:00,5912.38333,14.38,TRADE
NSW1,1999/09/03 04:30,5805.37833,11.89,TRADE
